Column1;nombre_programa;IES;fecha_consulta;url
28;MAESTRÍA EN GESTIÓN DEL TALENTO HUMANOMODALIDAD EN LÍNEARPC-SO-42-No.768-2019;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143456
29;MAESTRÍA EN ADMINISTRACIÓN DE EMPRESASMODALIDAD EN LÍNEARPC-SO-12-No.342-2021;ucsg;10/9/2023 13:21;https://ucsg.eude.ec/
30;MAESTRÍA EN COMERCIO MENCIÓN GESTIÓN LOGÍSTICA INTERNACIONALMODALIDAD EN LÍNEARPC-SO-12-No.342-2021;ucsg;10/9/2023 13:21;https://ucsg.eude.ec/gestion-logistica-internacional/
31;MAESTRÍA EN FINANZAS MENCIÓN DIRECCIÓN FINANCIERAMODALIDAD EN LÍNEARPC-SO-12-No.342-2021;ucsg;10/9/2023 13:21;https://ucsg.eude.ec/direccion-financiera/
32;MAESTRÍA EN CONTABILIDAD Y FINANZASMODALIDAD ON LINERPC-SO-26-No.634-2021;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143521/
33;MAESTRÍA EN GESTIÓN AMBIENTALMODALIDAD EN LÍNEARPC-SO-25-No.619-2021;ucsg;10/9/2023 13:21;https://ucsg.eude.ec/
34;MAESTRÍA EN GERENCIA EN SERVICIOS DE LA SALUDMODALIDAD EN LÍNEARPC-SO-07-No.123-2022;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143518/
35;MAESTRÍA EN TRANSFORMACIÓN DIGITAL DE NEGOCIOSMODALIDAD EN LÍNEARPC-SO-19-No.296-2022;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143530/
36;MAESTRÍA EN CONTABILIDAD Y AUDITORIA CON MENCIÓN EN GESTIÓN TRIBUTARIAMODALIDAD EN LÍNEARPC-SO-27-No.646-2021;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143522/
37;MAESTRÍA EN FINANZAS Y TRIBUTACIÓNMODALIDAD ON LINERPC-SO-02-No.038-2022;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143-527/
38;MAESTRÍA EN FINANZAS CON MENCIÓN EN MERCADO DE VALORESMODALIDAD EN LÍNEARPC-SO-14-No.229-2022;ucsg;10/9/2023 13:21;https://www.ucsg.edu.ec/posgrado/pos143529/
