,nombre_programa,IES,url,fecha_consulta
10,MAESTRÍA EN ECONOMÍA CON MENCIÓN EN DESARROLLO ECONÓMICO Y POLÍTICAS PÚBLICASMODALIDAD HÍBRIDARPC-SO-41-Nº.663-2022,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143555/'],2023-09-10 13:21:57.945558
11,MAESTRÍA EN COMUNICACIÓN EMPRESARIALMODALIDAD HÍBRIDARPC-SO-30-No.695-2021,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143523/'],2023-09-10 13:21:57.945558
12,MAESTRÍA EN ADMINISTRACIÓN DE EMPRESASMODALIDAD HÍBRIDARPC-SO-35-No.799-2021 / RPC-SO-03-No.096-2021,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143323'],2023-09-10 13:21:57.946557
13,MAESTRÍA EN SEGURIDAD Y SALUD EN EL TRABAJOMODALIDAD HÍBRIDARPC-SO-51-N°.834-2022,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143557/'],2023-09-10 13:21:57.946557
14,MAESTRÍA EN ADMINISTRACIÓN PÚBLICAMODALIDAD HÍBRIDARPC-SO-51-No.834-2022,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143556/'],2023-09-10 13:21:57.946557
15,MAESTRÍA EN GERENCIA EN SERVICIOS DE LA SALUDMODALIDAD HÍBRIDARPC-SO-36-No.826-2021,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143178'],2023-09-10 13:21:57.947555
16,MAESTRÍA EN DERECHO (MENCIÓN DERECHO DE NIÑEZ Y ADOLESCENCIA)MODALIDAD HÍBRIDARPC-SO-15-No.315-2020,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143451/'],2023-09-10 13:21:57.947555
17,MAESTRÍA EN EDUCACIÓN MENCIÓN EN INCLUSIÓN EDUCATIVA Y ATENCIÓN A LA DIVERSIDADMODALIDAD HÍBRIDARPC-SO-41-Nº.663-2022,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143516/'],2023-09-10 13:21:57.947555
18,MAESTRÍA EN NEGOCIOS INTERNACIONALESMODALIDAD HÍBRIDARPC-SO-12-No.234-2020,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143452/'],2023-09-10 13:21:57.947555
19,MAESTRÍA EN DERECHO MENCIÓN DERECHO PROCESALMODALIDAD HÍBRIDARPC-SO-15-No.315-2020,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143381'],2023-09-10 13:21:57.947555
20,MAESTRÍA EN PSICOANÁLISIS Y EDUCACIÓNMODALIDAD HÍBRIDARPC-SO-12-No.343-2021,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143383/'],2023-09-10 13:21:57.949061
21,MAESTRÍA EN FINANZAS Y ECONOMÍA EMPRESARIALMODALIDAD HÍBRIDARPC-SO-12-No.234-2020,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143339/'],2023-09-10 13:21:57.949570
22,MAESTRÍA EN MERCADOTECNIAMODALIDAD HÍBRIDARPC-SO-19-No.406-2020,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143385/'],2023-09-10 13:21:57.949570
23,MAESTRÍA EN DERECHO CON MENCIÓN EN DERECHO BANCARIO Y LEGISLACIÓN BURSÁTILMODALIDAD HÍBRIDARPC-SO-28-No.456-2019,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143454'],2023-09-10 13:21:57.949570
24,MAESTRÍA EN DERECHO (MENCIÓN DERECHO NOTARIAL Y REGISTRAL)MODALIDAD HÍBRIDARPC-SO-17-No.365-2020,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143390/'],2023-09-10 13:21:57.949570
25,MAESTRÍA EN INVESTIGACIÓN DE MERCADOSMODALIDAD HÍBRIDARPC-SO-30-No.695-2021,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143524/'],2023-09-10 13:21:57.950701
26,MAESTRÍA EN PERIODISMO Y GESTIÓN DE COMUNICACIÓNMODALIDAD EN LÍNEAN° 005-CU-UCSG-P-POSTGRADO-2023,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143405/'],2023-09-10 13:21:57.950701
27,MAESTRÍA EN SALUD PÚBLICAMODALIDAD EN LÍNEARPC-SO-29-No.486-2023,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143462'],2023-09-10 13:21:57.950701
28,MAESTRÍA EN GESTIÓN DEL TALENTO HUMANOMODALIDAD EN LÍNEARPC-SO-42-No.768-2019,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143456'],2023-09-10 13:21:57.951698
29,MAESTRÍA EN ADMINISTRACIÓN DE EMPRESASMODALIDAD EN LÍNEARPC-SO-12-No.342-2021,ucsg,['https://ucsg.eude.ec/'],2023-09-10 13:21:57.951698
30,MAESTRÍA EN COMERCIO MENCIÓN GESTIÓN LOGÍSTICA INTERNACIONALMODALIDAD EN LÍNEARPC-SO-12-No.342-2021,ucsg,['https://ucsg.eude.ec/gestion-logistica-internacional/'],2023-09-10 13:21:57.951698
31,MAESTRÍA EN FINANZAS MENCIÓN DIRECCIÓN FINANCIERAMODALIDAD EN LÍNEARPC-SO-12-No.342-2021,ucsg,['https://ucsg.eude.ec/direccion-financiera/'],2023-09-10 13:21:57.952696
32,MAESTRÍA EN CONTABILIDAD Y FINANZASMODALIDAD ON LINERPC-SO-26-No.634-2021,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143521/'],2023-09-10 13:21:57.952696
33,MAESTRÍA EN GESTIÓN AMBIENTALMODALIDAD EN LÍNEARPC-SO-25-No.619-2021,ucsg,['https://ucsg.eude.ec/'],2023-09-10 13:21:57.953699
34,MAESTRÍA EN GERENCIA EN SERVICIOS DE LA SALUDMODALIDAD EN LÍNEARPC-SO-07-No.123-2022,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143518/'],2023-09-10 13:21:57.953699
35,MAESTRÍA EN TRANSFORMACIÓN DIGITAL DE NEGOCIOSMODALIDAD EN LÍNEARPC-SO-19-No.296-2022,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143530/'],2023-09-10 13:21:57.954690
36,MAESTRÍA EN CONTABILIDAD Y AUDITORIA CON MENCIÓN EN GESTIÓN TRIBUTARIAMODALIDAD EN LÍNEARPC-SO-27-No.646-2021,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143522/'],2023-09-10 13:21:57.954690
37,MAESTRÍA EN FINANZAS Y TRIBUTACIÓNMODALIDAD ON LINERPC-SO-02-No.038-2022,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143-527/'],2023-09-10 13:21:57.955688
38,MAESTRÍA EN FINANZAS CON MENCIÓN EN MERCADO DE VALORESMODALIDAD EN LÍNEARPC-SO-14-No.229-2022,ucsg,['https://www.ucsg.edu.ec/posgrado/pos143529/'],2023-09-10 13:21:57.955688
