,nombre_programa,precio,IES,url,fecha_consulta
35,Gestión del Riesgo de Desastres,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/gestion-del-riesgo-de-desastres/?programa-info=costos,2023-09-10 16:20:48.670019
36,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/?tipoPrograma=Posdoctorado?programa-info=costos,2023-09-10 16:20:49.823360
37,Gestión para Organizaciones Sostenibles,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/gestion-para-organizaciones-sostenibles/?programa-info=costos,2023-09-10 16:20:51.007179
38,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/universidad/centros-y-programas/?programa-info=costos,2023-09-10 16:20:52.036806
39,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/1/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:20:53.781327
40,Innovación en la Enseñanza Inicial de la Lengua Escrita,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/innovacion-en-la-ensenanza-inicial-de-la-lengua-escrita/?programa-info=costos,2023-09-10 16:20:54.941083
41,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/2/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:20:56.618823
42,Innovación en Educación para la Enseñanza de las Ciencias Sociales y Humanidades,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/innovacion-en-educacion/?programa-info=costos,2023-09-10 16:20:57.735048
43,Gestión Financiera y Administración de Riesgos Financieros,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/gestion-financiera-y-administracion-de-riesgos-financieros/?programa-info=costos,2023-09-10 16:20:58.923239
44,Políticas Educativas,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/politicas-educativas-2/?programa-info=costos,2023-09-10 16:21:00.049110
45,Relaciones Internacionales del Siglo XXI,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/relaciones-internacionales-del-siglo-xxi/?programa-info=costos,2023-09-10 16:21:01.271179
46,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/area/programa-andino-de-derechos-humanos/?programa-info=costos,2023-09-10 16:21:02.383138
47,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/?tipoPrograma=Posdoctorado?programa-info=costos,2023-09-10 16:21:03.561163
48,Psicología,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/psicologia/?programa-info=costos,2023-09-10 16:21:04.667667
49,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/universidad/centros-y-programas/?programa-info=costos,2023-09-10 16:21:05.773674
50,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/1/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:21:07.488043
51,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/3/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:21:09.093157
52,,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/page/2/?tipoPrograma=maestria-profesional?programa-info=costos,2023-09-10 16:21:10.822934
53,Trastornos del Desarrollo Infantil Mención Autismo,['<h1>no hay precio</h1>'],uasb,https://www.uasb.edu.ec/programa/trastornos-del-desarrollo-infantil-mencion-autismo/?programa-info=costos,2023-09-10 16:21:11.966415
